campaign_id,campaign_name,channel,budget,start_date,end_date
1,Campaign_1,Instagram,51042391,2022-09-05,2023-01-28
2,Campaign_2,Instagram,40562243,2024-11-26,2026-02-03
3,Campaign_3,SMS,127049703,2025-06-12,2026-11-13
4,Campaign_4,Google Ads,133575219,2025-07-12,2024-03-27
5,Campaign_5,SMS,121048628,2024-09-14,2024-09-16
6,Campaign_6,Google Ads,82816748,2023-09-02,2025-05-26
7,Campaign_7,SMS,189155898,2025-12-12,2024-11-27
8,Campaign_8,Instagram,167136265,2024-01-23,2023-10-21
9,Campaign_9,Website,39493887,2023-01-09,2023-07-10
10,Campaign_10,Instagram,143378159,2022-04-18,2024-11-06
11,Campaign_11,Google Ads,160789337,2023-10-06,2024-12-06
12,Campaign_12,Website,126591781,2023-07-15,2025-09-19
13,Campaign_13,SMS,153891769,2023-05-05,2023-06-10
14,Campaign_14,Google Ads,192195826,2023-11-10,2026-06-07
15,Campaign_15,Instagram,46020957,2024-03-06,2024-05-08
16,Campaign_16,Google Ads,76841872,2024-03-07,2023-05-30
17,Campaign_17,Email Marketing,61771763,2024-05-17,2026-10-15
18,Campaign_18,Google Ads,183203763,2022-10-30,2025-03-12
19,Campaign_19,SMS,88159954,2025-03-29,2025-06-05
20,Campaign_20,Email Marketing,93337045,2024-03-22,2025-12-17
21,Campaign_21,Google Ads,98267109,2023-01-20,2023-07-08
22,Campaign_22,Google Ads,115850676,2022-10-22,2024-12-23
23,Campaign_23,Google Ads,143204900,2025-02-17,2026-12-17
24,Campaign_24,Google Ads,121266490,2024-11-02,2023-06-18
25,Campaign_25,Website,128937714,2023-03-16,2024-01-03
26,Campaign_26,Instagram,136315899,2025-05-25,2023-09-29
27,Campaign_27,Instagram,175884313,2023-01-06,2025-11-26
28,Campaign_28,SMS,183988248,2025-06-07,2024-07-21
29,Campaign_29,SMS,131582728,2025-12-25,2025-10-17
30,Campaign_30,SMS,12714632,2023-05-29,2026-01-13
31,Campaign_31,Email Marketing,191093644,2022-01-25,2023-07-01
32,Campaign_32,Google Ads,55748052,2025-04-03,2026-12-30
33,Campaign_33,Email Marketing,83422022,2024-06-13,2025-06-08
34,Campaign_34,Website,120410345,2024-06-19,2023-05-04
35,Campaign_35,Google Ads,159427292,2023-12-05,2026-03-14
36,Campaign_36,SMS,191699480,2025-04-14,2024-03-08
37,Campaign_37,Google Ads,72929715,2025-07-10,2024-10-24
38,Campaign_38,Email Marketing,100479339,2025-07-29,2026-08-14
39,Campaign_39,Email Marketing,166229494,2024-07-16,2023-10-31
40,Campaign_40,Instagram,145686655,2025-12-15,2026-07-22
41,Campaign_41,Website,72648675,2024-01-17,2025-05-23
42,Campaign_42,Email Marketing,8383438,2023-11-29,2024-01-12
43,Campaign_43,SMS,104813935,2025-05-08,2025-01-22
44,Campaign_44,SMS,119200723,2022-02-05,2025-03-08
45,Campaign_45,Instagram,163806495,2024-01-04,2023-07-30
46,Campaign_46,SMS,42231331,2023-06-10,2025-11-18
47,Campaign_47,Google Ads,142458656,2025-08-17,2025-05-07
48,Campaign_48,Email Marketing,136876147,2025-04-05,2024-07-01
49,Campaign_49,SMS,144688216,2024-12-25,2023-04-08
50,Campaign_50,Google Ads,29403850,2024-11-21,2026-04-11
