product_id,product_name,category,brand,price,cost,status
1,کرم مرطوب کننده آبرسان,مراقبت پوست,CeraVe,2816991,1958136,غیرفعال
2,سرم هیالورونیک اسید,مراقبت پوست,The Ordinary,3713112,2229017,فعال
3,سرم ویتامین C,مراقبت پوست,La Roche-Posay,1840097,482964,فعال
4,کرم ضد آفتاب SPF50,مراقبت پوست,Bioderma,4749880,4425732,غیرفعال
5,ژل شستشوی صورت,مراقبت پوست,Neutrogena,4777696,3996369,غیرفعال
6,کرم دور چشم,مراقبت پوست,Eucerin,4048908,3461813,غیرفعال
7,ماسک صورت مغذی,مراقبت پوست,Vichy,5058054,4404636,فعال
8,تونر پاک کننده پوست,مراقبت پوست,L'Oréal,5598683,4078888,فعال
9,عطر ادو پرفیوم,عطر,Dior,1963126,1905488,فعال
10,عطر زنانه کلاسیک,عطر,Chanel,2255274,1071319,غیرفعال
11,عطر مردانه اسپرت,عطر,Armani,4358840,3340307,غیرفعال
12,اسپری بدن,عطر,Nivea,2440082,841138,غیرفعال
13,رژ لب مات,آرایشی,Maybelline,3580338,2168700,فعال
14,ریمل حجم دهنده,آرایشی,MAC,1581961,1326254,غیرفعال
15,پنکیک آرایشی,آرایشی,NYX,3776468,3400415,فعال
16,کرم پودر,آرایشی,L'Oréal Paris,3085914,1891776,فعال
17,سایه چشم,آرایشی,Essence,1652485,531937,فعال
18,خط چشم ضد آب,آرایشی,Sephora,4836792,3960777,غیرفعال
19,شامپو تقویت کننده,بهداشتی,Head & Shoulders,1870853,1679182,غیرفعال
20,نرم کننده مو,بهداشتی,Pantene,4156267,3858833,غیرفعال
21,کرم دست و بدن,بهداشتی,Nivea,6433901,4822824,فعال
22,محصول مراقبت مو,بهداشتی,Garnier,3892088,2907770,غیرفعال
23,کرم مرطوب کننده آبرسان,مراقبت پوست,CeraVe,1650070,1013141,غیرفعال
24,سرم هیالورونیک اسید,مراقبت پوست,The Ordinary,1370879,413514,غیرفعال
25,سرم ویتامین C,مراقبت پوست,La Roche-Posay,4181041,3228106,غیرفعال
26,کرم ضد آفتاب SPF50,مراقبت پوست,Bioderma,1681990,1501399,غیرفعال
27,ژل شستشوی صورت,مراقبت پوست,Neutrogena,3225436,2210829,غیرفعال
