sale_id,customer_id,product_id,branch_id,sale_date,quantity,total_amount
1,3814,380,3,2024-03-17,4,17149348
2,3003,398,5,2023-10-13,5,11612320
3,8337,227,2,2025-06-18,3,13824942
4,1405,257,2,2023-11-02,3,5916615
5,6117,8,5,2023-10-25,3,16796049
6,6947,304,3,2025-10-14,2,6531164
7,686,317,3,2025-01-20,3,8731167
8,4547,319,5,2024-08-20,3,10983015
9,117,43,1,2022-12-17,3,19590261
10,7645,246,1,2024-05-04,1,5924484
11,4074,267,5,2023-09-20,5,18451895
12,959,51,1,2023-04-27,2,11745074
13,3538,253,1,2023-11-11,3,5095155
14,7656,275,4,2025-01-13,2,8593252
15,3188,93,3,2023-08-22,1,2956908
16,4215,261,4,2025-01-07,5,14697910
17,1222,268,2,2023-06-06,3,10316424
18,4139,54,1,2025-07-23,1,5062482
19,564,347,4,2022-06-29,1,3514146
20,6718,165,2,2025-01-20,3,13801938
21,5117,213,3,2024-04-24,3,7629234
22,9695,333,1,2023-07-21,2,10206176
23,3367,494,3,2023-05-26,1,4890394
24,3872,50,2,2024-06-20,5,3971405
25,1425,370,2,2022-09-26,1,1710232
26,8212,291,1,2024-06-05,2,9561972
27,124,167,1,2023-05-31,3,15663942
28,7976,451,1,2024-11-26,5,8948065
29,3697,150,4,2024-05-09,4,21908876
30,9639,50,3,2024-03-08,3,2382843
31,9152,269,5,2024-07-11,4,6389812
32,6976,435,5,2023-02-02,5,15398740
33,1527,265,3,2022-11-05,4,18674880
34,4626,62,4,2025-05-09,2,8530892
35,5421,206,4,2024-11-29,4,21110592
36,978,9,1,2025-11-26,2,3926252
37,4010,416,5,2022-04-14,4,10587812
38,2881,262,2,2023-02-18,5,13329580
39,5806,168,2,2024-04-26,2,12739946
40,3369,138,5,2022-09-16,1,1624462
41,5571,433,1,2025-07-21,1,1391147
42,1481,290,4,2025-11-02,3,12283602
43,2091,279,2,2024-01-06,4,8939924
44,2107,57,2,2024-08-27,4,12023292
45,8265,338,5,2023-03-25,1,3168712
46,2491,5,4,2024-09-10,5,23888480
47,245,187,2,2022-06-22,5,15264780
48,4987,81,3,2023-04-10,3,9444777
49,2736,349,5,2025-11-20,1,1527991
50,6264,166,5,2024-03-17,5,16938585
51,7074,368,1,2022-02-03,5,23835670
52,5930,461,5,2024-04-27,1,5129859
53,5503,479,2,2025-03-26,1,5731703
54,6766,364,5,2023-09-03,5,14780665
55,507,149,4,2022-11-06,4,25791184
56,9191,472,5,2024-10-20,2,6152448
57,2915,126,4,2024-02-18,3,8065983
58,3437,180,1,2025-01-05,5,8839825
59,2826,255,1,2023-01-14,2,7522970
60,9717,435,1,2024-07-13,3,9239244
61,9234,204,1,2024-06-30,5,8173835
62,9018,355,4,2022-01-23,4,23302400
63,4953,451,4,2024-02-18,4,7158452
64,5101,185,1,2022-10-03,4,8773948
65,8917,102,3,2023-12-25,5,10209945
66,5108,177,2,2025-04-05,5,10581965
67,8877,126,2,2025-05-27,3,8065983
68,7228,426,1,2024-07-20,4,4484992
69,9696,7,1,2022-09-19,2,10116108
70,6391,382,4,2025-09-02,4,19432912
71,6453,176,1,2025-08-15,2,9195328
72,6396,459,3,2022-03-19,2,5589150
